epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.3917,1.22141,2.62246,1.52687,0.75431,0.45045,0.55439,0.34982,1.34737,3.31927,1.60602,0.00047092,0.00047092,0.00047092
2,42.1202,1.21154,1.74571,1.49366,0.53341,0.52709,0.525,0.3236,1.40721,3.05849,1.70659,0.000944128,0.000944128,0.000944128
3,21.4047,1.22701,1.55561,1.49668,0.6444,0.54907,0.60443,0.33543,1.6864,2.37923,2.21309,0.00141419,0.00141419,0.00141419
4,41.6598,1.18658,1.27805,1.45874,0.5901,0.59937,0.57834,0.30459,1.6461,2.15066,2.03697,0.00141485,0.00141485,0.00141485
5,61.8485,1.17929,1.14939,1.45194,0.68383,0.64084,0.67464,0.41983,1.31339,1.76237,1.58487,0.00141014,0.00141014,0.00141014
6,82.6956,1.17693,1.06164,1.44325,0.68458,0.59686,0.67791,0.39327,1.48606,1.69602,1.78959,0.00140542,0.00140542,0.00140542
7,103.029,1.11655,0.95082,1.38627,0.78318,0.72647,0.75953,0.45023,1.4117,1.21954,1.76486,0.00140071,0.00140071,0.00140071
8,124.063,1.12299,0.93774,1.38361,0.74205,0.66716,0.72924,0.4285,1.44546,1.26898,1.70691,0.00139599,0.00139599,0.00139599
9,146.279,1.09741,0.88312,1.37791,0.80066,0.77014,0.79783,0.49911,1.31838,0.94579,1.5369,0.00139127,0.00139127,0.00139127
10,166.774,1.07845,0.84313,1.36168,0.72571,0.67,0.68625,0.42536,1.44412,1.28698,1.67018,0.00138656,0.00138656,0.00138656
11,186.882,1.06827,0.8367,1.35506,0.81358,0.71603,0.77795,0.4895,1.34633,0.98852,1.59236,0.00138184,0.00138184,0.00138184
12,206.653,1.04336,0.80497,1.33997,0.78942,0.73691,0.78412,0.52468,1.17114,0.91723,1.42534,0.00137713,0.00137713,0.00137713
13,226.404,1.03468,0.77363,1.32977,0.82944,0.78084,0.80851,0.48507,1.38195,0.84396,1.64075,0.00137241,0.00137241,0.00137241
14,246.612,1.03033,0.76494,1.32041,0.78143,0.76471,0.78487,0.54697,1.17654,0.827,1.42934,0.0013677,0.0013677,0.0013677
15,266.622,1.01795,0.73846,1.31648,0.81028,0.81047,0.83712,0.52426,1.28196,0.82054,1.51211,0.00136298,0.00136298,0.00136298
16,286.453,1.05345,0.77873,1.33923,0.80512,0.77736,0.81769,0.52676,1.23538,0.8463,1.49941,0.00135826,0.00135826,0.00135826
17,306.573,1.03078,0.75732,1.32908,0.83351,0.77696,0.81539,0.52995,1.24297,0.78078,1.47857,0.00135355,0.00135355,0.00135355
18,326.915,1.03754,0.74073,1.31867,0.84329,0.7988,0.83749,0.52043,1.34266,0.77834,1.59168,0.00134883,0.00134883,0.00134883
19,21.0342,1.45954,1.87811,2.53136,0.76449,0.79255,0.78732,0.52119,1.20217,0.89351,1.57758,0.00134412,0.00134412,0.00134412
20,41.3177,1.06609,0.82879,1.38191,0.82591,0.8137,0.83207,0.53687,1.23944,0.78739,1.51763,0.0013394,0.0013394,0.0013394
21,62.4727,1.01879,0.72151,1.33013,0.82363,0.83039,0.84526,0.57108,1.13856,0.69894,1.39755,0.00133469,0.00133469,0.00133469
22,83.4398,1.02006,0.72006,1.32669,0.88193,0.79467,0.85998,0.56701,1.18522,0.68315,1.4612,0.00132997,0.00132997,0.00132997
23,103.771,0.97303,0.6934,1.28651,0.88336,0.80885,0.8601,0.56611,1.17854,0.6781,1.43483,0.00132525,0.00132525,0.00132525
24,124.224,0.99988,0.69283,1.29633,0.81756,0.83743,0.86187,0.57435,1.15173,0.68866,1.44095,0.00132054,0.00132054,0.00132054
25,144.339,0.97658,0.67255,1.29406,0.89601,0.81775,0.86829,0.57058,1.17224,0.6981,1.43541,0.00131582,0.00131582,0.00131582
26,164.648,0.96221,0.64459,1.28362,0.87088,0.81939,0.85835,0.59009,1.08745,0.6768,1.38607,0.00131111,0.00131111,0.00131111
27,186.982,0.96762,0.64352,1.28712,0.85758,0.81031,0.84201,0.57179,1.1396,0.65051,1.40351,0.00130639,0.00130639,0.00130639
28,210.119,0.94212,0.63408,1.26731,0.88375,0.81917,0.87036,0.60006,1.08168,0.66999,1.35792,0.00130168,0.00130168,0.00130168
29,232.542,0.95984,0.63644,1.27808,0.87884,0.80203,0.85324,0.56026,1.20071,0.68449,1.44392,0.00129696,0.00129696,0.00129696
30,256.032,0.94585,0.62475,1.26577,0.88004,0.82404,0.86165,0.58209,1.16425,0.64365,1.42839,0.00129224,0.00129224,0.00129224
31,278.752,0.9362,0.60956,1.25771,0.89065,0.85903,0.8913,0.57917,1.16823,0.61553,1.43586,0.00128753,0.00128753,0.00128753
32,299.391,0.9681,0.62891,1.27648,0.86117,0.86379,0.87543,0.55608,1.22918,0.64482,1.47362,0.00128281,0.00128281,0.00128281
33,320.391,0.9482,0.61891,1.26939,0.84887,0.82842,0.85363,0.57272,1.17669,0.64333,1.43246,0.0012781,0.0012781,0.0012781
34,341.332,0.92098,0.60429,1.23956,0.90411,0.84437,0.8889,0.58688,1.14431,0.62371,1.41285,0.00127338,0.00127338,0.00127338
35,362.386,0.91327,0.58531,1.23204,0.89101,0.83484,0.87405,0.57518,1.12669,0.6485,1.36373,0.00126867,0.00126867,0.00126867
36,384.469,0.92069,0.6,1.24302,0.85317,0.84338,0.8619,0.5873,1.11514,0.59693,1.39279,0.00126395,0.00126395,0.00126395
37,406.269,0.95016,0.60178,1.25925,0.88583,0.86835,0.89343,0.58305,1.17596,0.61691,1.41616,0.00125923,0.00125923,0.00125923
38,427.614,0.93828,0.60792,1.24992,0.87511,0.84589,0.88109,0.55827,1.24209,0.6701,1.52162,0.00125452,0.00125452,0.00125452
39,449.693,0.92578,0.60843,1.24127,0.90651,0.85848,0.89729,0.58679,1.19391,0.59622,1.46099,0.0012498,0.0012498,0.0012498
40,469.448,0.92463,0.58877,1.24801,0.87916,0.82672,0.87572,0.57637,1.19749,0.65278,1.45393,0.00124509,0.00124509,0.00124509
41,489.136,0.9121,0.57974,1.23146,0.8951,0.84345,0.89191,0.60393,1.11466,0.5728,1.38487,0.00124037,0.00124037,0.00124037
42,508.752,0.89575,0.57524,1.22779,0.86851,0.84877,0.8838,0.59542,1.1278,0.62052,1.38035,0.00123566,0.00123566,0.00123566
43,528.534,0.91652,0.58636,1.2411,0.88862,0.86315,0.88784,0.61668,1.05609,0.58161,1.32044,0.00123094,0.00123094,0.00123094
44,548.261,0.88599,0.55725,1.23141,0.88292,0.87652,0.90152,0.61215,1.07947,0.5685,1.35229,0.00122622,0.00122622,0.00122622
45,567.85,0.89972,0.56605,1.22593,0.92178,0.86189,0.90941,0.62049,1.06175,0.5649,1.33022,0.00122151,0.00122151,0.00122151
46,587.676,0.90251,0.54376,1.22893,0.89883,0.85639,0.89109,0.59225,1.16557,0.59652,1.42656,0.00121679,0.00121679,0.00121679
47,608.608,0.88699,0.52945,1.20583,0.90553,0.82474,0.86878,0.58372,1.19594,0.61309,1.4498,0.00121208,0.00121208,0.00121208
48,630.455,0.90134,0.55078,1.22357,0.89855,0.84624,0.89374,0.62176,1.0613,0.55832,1.32857,0.00120736,0.00120736,0.00120736
49,652.701,0.88011,0.54207,1.21921,0.89649,0.84056,0.88982,0.62288,1.01507,0.55063,1.30565,0.00120265,0.00120265,0.00120265
50,674.831,0.90411,0.55777,1.22184,0.88809,0.82749,0.87432,0.58295,1.16871,0.60454,1.4536,0.00119793,0.00119793,0.00119793
51,697.83,0.88832,0.55029,1.21769,0.89384,0.87852,0.9125,0.61536,1.09876,0.57299,1.372,0.00119322,0.00119322,0.00119322
52,720.407,0.85948,0.53509,1.19354,0.88126,0.87401,0.89605,0.6199,1.07716,0.5853,1.36164,0.0011885,0.0011885,0.0011885
53,743.405,0.87248,0.53413,1.21173,0.89031,0.83292,0.86579,0.60453,1.11377,0.5863,1.39079,0.00118378,0.00118378,0.00118378
54,764.023,0.86695,0.52936,1.20605,0.8977,0.85398,0.90034,0.61434,1.07714,0.5574,1.35886,0.00117907,0.00117907,0.00117907
55,784.292,0.86127,0.52079,1.18742,0.91068,0.85607,0.90463,0.61945,1.0658,0.55241,1.34336,0.00117435,0.00117435,0.00117435
56,804.722,0.86842,0.51964,1.19665,0.85672,0.85218,0.8761,0.58759,1.15856,0.59911,1.3918,0.00116964,0.00116964,0.00116964
57,824.88,0.8806,0.53987,1.19992,0.91356,0.82584,0.88437,0.61161,1.06326,0.57412,1.32239,0.00116492,0.00116492,0.00116492
58,845.781,0.85057,0.52747,1.1802,0.91828,0.84042,0.89195,0.61829,1.04516,0.54845,1.33235,0.00116021,0.00116021,0.00116021
